,teleplay_id,name,genre,type,episodes,rating,members
0,9345,Gakkou no Kowai Uwasa Shin: Hanako-san ga Kita!!,"Comedy, Horror, School, Supernatural",medium,33,7.409797206405479,341
1,1793,Kaze no Na wa Amnesia,"Action, Dementia, Drama, Sci-Fi",long,1,6.053316460583466,8230
2,33909,Marine Dreamin&#039;,Music,Music,1,5.072964976301014,126
3,10585,Chuunen Punk,Music,Music,1,4.749767672013168,308
4,28993,Hand Soap,"Dementia, Psychological",long,1,5.538499548325545,246
5,9074,Arakawa Under the Bridge x Bridge,"Comedy, Romance, Seinen",medium,13,7.636771798422647,80394
6,7290,Cyborg 009: Kaijuu Sensou,"Action, Adventure, Sci-Fi",long,1,5.534575127471921,806
7,10824,Ranma ½: DoCo Music Video,"Comedy, Martial Arts, Music, Slice of Life",short,1,6.408524416578954,1775
8,4054,Norimono Oukoku BuBu ChaCha,"Comedy, Slice of Life",medium,26,6.688618367677934,315
9,3034,Kurai Mirai,Restricted,short,2,5.331004318168933,2004
10,135,Hikaru no Go,"Comedy, Game, Shounen, Supernatural",medium,75,7.86011289013611,69000
11,5606,Ryoujoku Joshi Gakuen,Restricted,short,2,6.438759531673721,450
12,3772,Saiko Robot Kombock,"Mecha, Sci-Fi",medium,25,5.887349840316822,2399
13,30099,Lao Fu Zi Zhi Xiao Shui Hu Chuan Qi,"Comedy, Seinen",long,1,5.814993456943208,60
14,9723,Hakuouki Hekketsuroku Episode 0,"Action, Drama, Harem, Historical, Josei, Samurai, Supernatural, Vampire",Special,1,7.38292293413881,8025
15,20847,Seitokai Yakuindomo*,"Comedy, School, Shounen, Slice of Life",medium,13,7.238238256405124,98544
16,2461,Metal Skin Panic MADOX-01,"Action, Mecha, Sci-Fi",short,1,5.879905258081834,2030
17,3127,California Crisis: Tsuigeki no Juuka,"Action, Adventure, Comedy",short,1,6.109413426283487,1604
18,6090,Hon Ran,"Action, Magic, Martial Arts",short,1,5.286290070591054,781
19,14207,Lovely Series,Restricted,short,2,4.02514614794039,174
20,1883,Kappa no Kaikata,Comedy,medium,26,6.245337333510081,1209
21,1906,Harukanaru Toki no Naka de: Maihitoyo,"Drama, Fantasy, Historical, Magic, Romance, Shoujo, Supernatural",long,1,7.598756577604021,4019
22,32803,Dreaming Pupa: Yumemiru Bokura,Music,Music,1,4.318724791417848,96
23,710,Rec,"Comedy, Drama, Romance",medium,9,7.680293969466532,68951
24,10764,Buta Himesama,"Fantasy, Restricted, Supernatural",short,1,5.538190287723377,2202
25,29799,Tabi wa Michizure Yo wa Nasake,Kids,long,1,6.112171615237794,92
26,1189,Eden&#039;s Bowy,"Action, Adventure, Fantasy, Romance, Sci-Fi",medium,26,7.381241173761726,4106
27,5040,One Outs,"Psychological, Seinen, Sports",medium,25,6.820500014679425,83056
28,3434,Hey! Bumboo,"Adventure, Cars, Kids",medium,130,6.660087375330256,677
29,32065,Kimi no Sumu Machi,Comedy,Special,1,5.442874951843839,398
30,24037,Selector Spread WIXOSS,"Game, Psychological",medium,12,7.095710442961867,42918
31,3550,Midori no Makibao,"Comedy, Sports",medium,61,6.39910056673439,488
32,18121,Teekyuu 2,"Comedy, School, Shounen, Sports",medium,12,6.901628470312994,15887
33,28053,Kumo no Ito,Fantasy,long,1,4.927563881859208,158
34,14749,Ore no Kanojo to Osananajimi ga Shuraba Sugiru,"Comedy, Harem, Romance, School",medium,13,8.134303275380839,156116
35,23635,Poppoya-san: Nonki Kikanshi,Kids,long,1,6.002946962435815,67
36,21881,Sword Art Online II,"Action, Adventure, Fantasy, Game, Romance",medium,24,8.31853232552318,537892
37,24675,Future Card Buddyfight Recap,Game,Special,1,5.863273449381127,277
38,3287,Tenkuu Danzai Skelter+Heaven,"Mecha, Sci-Fi",short,1,4.403639110859758,7680
39,3964,Turn A Gundam II Movie: Moonlight Butterfly,"Action, Drama, Mecha, Military, Sci-Fi, Space",long,1,6.313802979074717,2396
40,7178,Tony&#039;s Heroine Series: Kanojo wa Hanayome Kouhosei? Cinderella Collection,Restricted,short,2,5.5384742623635645,3550
41,9558,Cheung gong chat hou,Kids,long,1,6.353556693427945,215
42,3626,Mobile Suit Gundam Wing: Operation Meteor,"Action, Adventure, Drama, Mecha, Military, Psychological, Sci-Fi, Space",short,4,7.23428626349768,6768
43,6895,Hakuouki,"Action, Drama, Historical, Josei, Samurai, Supernatural",medium,12,7.47965478464257,90612
44,17147,Gakkatsu! 2nd Season,"Comedy, School",medium,25,6.838798916449093,1177
45,2366,Touma Kishinden Oni,Supernatural,medium,25,6.186568448296303,303
46,9340,Cheburashka,Comedy,long,1,6.031211334948299,545
47,31168,Pokemon XY: Odemashi Ko Majin Hoopa,"Action, Fantasy, Kids",short,1,6.40601624472354,1829
48,9242,Nine: Original Han,"Action, School, Sports",long,1,5.5971750993621345,158
49,9500,Starlight Scramble Renai Kouhosei,"Action, Romance, Sci-Fi",short,2,6.554135859623337,141
