,teleplay_id,name,genre,type,episodes,rating,members
0,9345,Gakkou no Kowai Uwasa Shin: Hanako-san ga Kita!!,"Comedy, Horror, School, Supernatural",medium,33,7.46378626132865,341
1,1793,Kaze no Na wa Amnesia,"Action, Dementia, Drama, Sci-Fi",long,1,6.27646026481096,8230
2,33909,Marine Dreamin&#039;,Music,Music,1,5.137801173228312,126
3,10585,Chuunen Punk,Music,Music,1,4.634278626798116,308
4,28993,Hand Soap,"Dementia, Psychological",long,1,5.50225796733292,246
5,9074,Arakawa Under the Bridge x Bridge,"Comedy, Romance, Seinen",medium,13,7.387087116288739,80394
6,7290,Cyborg 009: Kaijuu Sensou,"Action, Adventure, Sci-Fi",long,1,4.960962416745893,806
7,10824,Ranma ½: DoCo Music Video,"Comedy, Martial Arts, Music, Slice of Life",short,1,7.080890939109399,1775
8,4054,Norimono Oukoku BuBu ChaCha,"Comedy, Slice of Life",medium,26,7.265990608368302,315
9,3034,Kurai Mirai,Restricted,short,2,5.782565098492553,2004
10,135,Hikaru no Go,"Comedy, Game, Shounen, Supernatural",medium,75,7.541014268152776,69000
11,5606,Ryoujoku Joshi Gakuen,Restricted,short,2,6.93054961619569,450
12,3772,Saiko Robot Kombock,"Mecha, Sci-Fi",medium,25,5.562244087237808,2399
13,30099,Lao Fu Zi Zhi Xiao Shui Hu Chuan Qi,"Comedy, Seinen",long,1,6.163665659916021,60
14,9723,Hakuouki Hekketsuroku Episode 0,"Action, Drama, Harem, Historical, Josei, Samurai, Supernatural, Vampire",Special,1,7.475520118196567,8025
15,20847,Seitokai Yakuindomo*,"Comedy, School, Shounen, Slice of Life",medium,13,7.608328613891338,98544
16,2461,Metal Skin Panic MADOX-01,"Action, Mecha, Sci-Fi",short,1,6.135449653642193,2030
17,3127,California Crisis: Tsuigeki no Juuka,"Action, Adventure, Comedy",short,1,6.3642325054386815,1604
18,6090,Hon Ran,"Action, Magic, Martial Arts",short,1,5.686127441727302,781
19,14207,Lovely Series,Restricted,short,2,3.8270106082909834,174
20,1883,Kappa no Kaikata,Comedy,medium,26,6.316410716036104,1209
21,1906,Harukanaru Toki no Naka de: Maihitoyo,"Drama, Fantasy, Historical, Magic, Romance, Shoujo, Supernatural",long,1,7.401547107479865,4019
22,32803,Dreaming Pupa: Yumemiru Bokura,Music,Music,1,3.9607246090563297,96
23,710,Rec,"Comedy, Drama, Romance",medium,9,7.1279578633845695,68951
24,10764,Buta Himesama,"Fantasy, Restricted, Supernatural",short,1,6.538012476522019,2202
25,29799,Tabi wa Michizure Yo wa Nasake,Kids,long,1,6.02058056477779,92
26,1189,Eden&#039;s Bowy,"Action, Adventure, Fantasy, Romance, Sci-Fi",medium,26,6.779376211330481,4106
27,5040,One Outs,"Psychological, Seinen, Sports",medium,25,7.390621448542364,83056
28,3434,Hey! Bumboo,"Adventure, Cars, Kids",medium,130,6.578068473279788,677
29,32065,Kimi no Sumu Machi,Comedy,Special,1,4.787169498926762,398
30,24037,Selector Spread WIXOSS,"Game, Psychological",medium,12,7.099624997268486,42918
31,3550,Midori no Makibao,"Comedy, Sports",medium,61,6.192750639965158,488
32,18121,Teekyuu 2,"Comedy, School, Shounen, Sports",medium,12,6.841584414636879,15887
33,28053,Kumo no Ito,Fantasy,long,1,5.365978188920738,158
34,14749,Ore no Kanojo to Osananajimi ga Shuraba Sugiru,"Comedy, Harem, Romance, School",medium,13,7.37715585047186,156116
35,23635,Poppoya-san: Nonki Kikanshi,Kids,long,1,5.906104450723415,67
36,21881,Sword Art Online II,"Action, Adventure, Fantasy, Game, Romance",medium,24,8.354297476127183,537892
37,24675,Future Card Buddyfight Recap,Game,Special,1,5.780873295990293,277
38,3287,Tenkuu Danzai Skelter+Heaven,"Mecha, Sci-Fi",short,1,4.091843930144481,7680
39,3964,Turn A Gundam II Movie: Moonlight Butterfly,"Action, Drama, Mecha, Military, Sci-Fi, Space",long,1,6.768794633729294,2396
40,7178,Tony&#039;s Heroine Series: Kanojo wa Hanayome Kouhosei? Cinderella Collection,Restricted,short,2,6.010813138696521,3550
41,9558,Cheung gong chat hou,Kids,long,1,6.274059729298955,215
42,3626,Mobile Suit Gundam Wing: Operation Meteor,"Action, Adventure, Drama, Mecha, Military, Psychological, Sci-Fi, Space",short,4,7.909070075395976,6768
43,6895,Hakuouki,"Action, Drama, Historical, Josei, Samurai, Supernatural",medium,12,7.602772179384228,90612
44,17147,Gakkatsu! 2nd Season,"Comedy, School",medium,25,7.055153735688719,1177
45,2366,Touma Kishinden Oni,Supernatural,medium,25,6.716042904061328,303
46,9340,Cheburashka,Comedy,long,1,6.234321495870481,545
47,31168,Pokemon XY: Odemashi Ko Majin Hoopa,"Action, Fantasy, Kids",short,1,6.553613759131659,1829
48,9242,Nine: Original Han,"Action, School, Sports",long,1,5.003047452647289,158
49,9500,Starlight Scramble Renai Kouhosei,"Action, Romance, Sci-Fi",short,2,6.462864049866686,141
50,10342,Tetsuwan Atom: Uchuu no Yuusha,"Action, Adventure, Drama, Mecha, Sci-Fi, Shounen",long,1,6.340846516164063,661
51,3931,Initial D Battle Stage 2,"Action, Cars, Drama, Seinen, Sports",short,1,7.5638319330797925,11015
52,3869,Sakura Momoko Gekijou: Coji-Coji,"Comedy, Fantasy",medium,100,6.739921184105616,186
53,33870,Kabi Usagi: Game Center,Comedy,ONA,1,4.259604751081316,39
54,6793,Kuroshitsuji Special,"Comedy, Demons, Parody",Special,1,6.565866374416733,53706
55,9916,Samurai Giants,Sports,medium,46,4.022183806107799,319
56,16436,Tenshi no Drop,"Comedy, Ecchi, Shoujo Ai, Shounen",Special,1,5.3441920177087585,6308
57,2002,Heroic Age,"Action, Mecha, Military, Sci-Fi, Space",medium,26,7.576220915187061,62530
58,8423,Ookiku Furikabutte: Natsu no Scorebook,"Comedy, Sports",short,2,6.883878963570213,2167
59,1752,Di Gi Charat: Hoshi no Tabi,Comedy,long,1,5.853985990734022,1973
60,1141,Palme no Ki,"Adventure, Drama, Fantasy, Romance",long,1,7.029345834286878,3462
61,33878,"Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Ryoutsu no Asakusa Rinyuuaru Daisakusen!! - Aa, Om","Comedy, Police",Special,1,6.107039962664211,101
62,33811,Teekyuu 8,"Comedy, Shounen, Sports",medium,12,6.275825617909755,3961
63,5928,Kigyou Senshi Yamazaki: Long Distance Call,"Drama, Sci-Fi, Seinen",short,1,6.618408110255799,168
64,8456,Queen&#039;s Blade: Utsukushiki Toushitachi,"Action, Adventure, Ecchi, Fantasy",short,6,7.169396169917438,11540
65,1376,Ojamajo Doremi Na-i-sho,"Comedy, Fantasy, Magic, Shoujo",short,13,7.551602353612036,3620
66,26137,Afghanistan Paghman-mura no Monogatari: Boku no Mura ni Circus ga Kita,"Historical, Kids",short,1,6.697991521454284,130
67,21119,Sister Princess: Re Pure Character&#039;s,"Drama, Romance",Special,12,6.785500781247727,544
68,8294,Shinshou Genmukan,Restricted,short,4,5.889761397520144,2261
69,9778,Toriko Hime: Hakudaku Mamire no Reijou,Restricted,short,2,5.825446895405239,3025
70,386,H2,"Comedy, Romance, Shounen, Sports",medium,41,6.896065005365126,4450
71,8664,"Slime Boukenki: Umi da, Yeah!","Action, Adventure, Comedy, Fantasy, Game",Special,1,6.646539113045062,403
72,31128,Arslan Senki (TV): Dakkan no Yaiba,"Action, Adventure, Drama, Fantasy, Historical, Supernatural",Special,1,7.102049259957615,6686
73,4176,Wanna-Be&#039;s,"Action, Comedy, Sports",short,1,5.816184283018074,763
74,585,Mimi wo Sumaseba,"Adventure, Drama, Fantasy, Romance, Slice of Life",long,1,8.156188316484483,94435
75,28247,Pankis! 2-jigen,"Comedy, Music",medium,24,6.791242342571061,331
76,2733,Mobile Police Patlabor: MiniPato,Parody,short,3,6.78288642495401,1831
77,23005,Mogura no Motoro,Slice of Life,long,1,5.324548110733727,62
78,12881,Tsuki wa Higashi ni Hi wa Nishi ni: Operation Sanctuary OVA,"Comedy, Drama, Harem, Romance, Sci-Fi",short,4,6.442635371111581,550
79,31422,Minami Kamakura Koukou Joshi Jitensha-bu,"School, Shounen, Sports",medium,Unknown,6.300256341912189,2216
80,2585,Soukou Kihei Votoms: Red Shoulder Document - Yabou no Roots,"Drama, Mecha, Military, Sci-Fi",short,1,7.266648555446249,2049
81,4926,Marco: Haha wo Tazunete Sanzenri,"Adventure, Drama",long,1,5.908218204324499,1060
82,3186,Sekai Meisaku Douwa: Hakuchou no Mizuumi,"Drama, Fantasy, Romance",long,1,7.191730841362126,1705
83,33914,Nineko Gelée: Opening Movie,"Fantasy, Music",Music,1,5.5523263020086295,65
