('1', 8.869432671574094)	
('100', 7.498189717595945)	
('1000', 8.022421524663677)	
('10000', 7.0)	
('10003', 6.588235294117647)	
('10005', 6.9)	
('1001', 7.0)	
('10012', 8.117590361445783)	
('10013', 6.6875)	
('10014', 6.957446808510638)	
('10015', 6.804245283018868)	
('10016', 6.751515151515152)	
('10017', 7.108256880733945)	
('1002', 7.974025974025974)	
('10020', 7.796223100570927)	
('10028', 6.694444444444445)	
('10029', 8.165554881746512)	
('1003', 7.638674033149171)	
('10030', 8.642897889332573)	
('10033', 7.85502471169687)	
('10036', 7.7272727272727275)	
('1004', 7.765803988120492)	
('10040', 1.0)	
('10043', 6.476190476190476)	
('10045', 7.0)	
('10048', 7.4)	
('10049', 8.242166344294004)	
('1005', 6.91404011461318)	
('10050', 7.717171717171717)	
('10055', 6.375)	
('10058', 7.5)	
('1006', 7.681286549707602)	
('10061', 9.0)	
('10067', 7.73856693204962)	
('1007', 7.923664122137405)	
('10073', 6.776896942242356)	
('10074', 6.785714285714286)	
('10075', 7.757126567844926)	
('10076', 6.838649155722327)	
('10079', 7.1760350050488055)	
('1008', 7.908878504672897)	
('10080', 8.234622372177524)	
('10083', 8.051351351351352)	
('10087', 8.63584859183841)	
('1009', 5.028985507246377)	
('10090', 8.0)	
('10092', 7.921743991056456)	
('10098', 7.027027027027027)	
('101', 7.701022604951561)	
('1010', 7.596009975062344)	
('10101', 6.103448275862069)	
('10104', 5.653846153846154)	
('10105', 5.0)	
('10106', 7.15625)	
('10108', 7.340720221606648)	
('10109', 6.750577367205543)	
('1011', 7.858695652173913)	
('10110', 7.622205088666153)	
('10113', 10.0)	
('10114', 8.5)	
('10115', 6.5)	
('10116', 7.777777777777778)	
('10118', 7.5)	
('10119', 7.963983050847458)	
('1012', 6.486486486486487)	
('10122', 7.172881355932203)	
('1013', 7.736111111111111)	
('10132', 7.0)	
('10135', 8.0)	
('10136', 7.0)	
('10137', 7.0)	
('10138', 7.0)	
('10139', 7.666666666666667)	
('1014', 7.294117647058823)	
('10149', 8.0)	
('1015', 7.902583025830259)	
('10152', 7.369901547116737)	
('10153', 8.519662921348315)	
('10155', 7.4287680660702)	
('10156', 6.976836532097948)	
('1016', 7.330535152151102)	
('10161', 7.912783981517135)	
('10162', 8.657912234042554)	
('10163', 7.597648843382632)	
('10165', 8.639903167238248)	
('1017', 7.444444444444445)	
('10172', 6.8451208594449415)	
('10177', 6.116279069767442)	
('10178', 7.618181818181818)	
('1018', 7.045454545454546)	
('10180', 7.078947368421052)	
('10187', 6.83203125)	
('10189', 7.455974842767295)	
('1019', 6.922437673130194)	
('10191', 7.210176991150442)	
('10194', 6.714285714285714)	
('10196', 6.875375375375375)	
('10197', 7.073381294964029)	
('10199', 7.0)	
('102', 7.693040596520298)	
('1020', 7.226315789473684)	
('10201', 6.431372549019608)	
('10202', 8.166666666666666)	
('10207', 7.142857142857143)	
('10209', 7.655683080340615)	
('1021', 7.963541666666667)	
('10213', 7.198410272088046)	
('10216', 7.693937180423667)	
('10217', 5.989690721649485)	
('10218', 8.01632208922742)	
('10219', 6.622784810126582)	
('1022', 7.467741935483871)	
('10224', 5.8)	
('1023', 8.268277571251549)	
('10232', 7.44040404040404)	
('1024', 7.303867403314917)	
('10241', 5.5)	
('10246', 6.0)	
('10249', 7.250411861614498)	
('1025', 7.348214285714286)	
('10256', 6.357142857142857)	
('10257', 7.7924528301886795)	
('10258', 6.134920634920635)	
('10259', 7.0)	
('1026', 6.086956521739131)	
('10260', 6.9957805907173)	
('10261', 3.5)	
('10262', 7.0625)	
('10263', 6.850746268656716)	
('1027', 5.92)	
('10270', 2.0)	
('10271', 8.326615293420273)	
('10276', 6.830985915492958)	
('10278', 7.971165644171779)	
('1028', 7.268115942028985)	
('10280', 7.2631578947368425)	
('10282', 6.0)	
('10285', 8.0)	
('10286', 6.454545454545454)	
('1029', 7.708263069139966)	
('10294', 7.607714016933208)	
('10297', 6.97457627118644)	
('10298', 7.479018721755971)	
('103', 7.661538461538462)	
('1030', 7.466076696165191)	
('10301', 6.5)	
('10302', 7.298342541436464)	
('10304', 7.0)	
('10306', 6.538461538461538)	
('10308', 6.835)	
('1031', 5.827586206896552)	
('10313', 6.714285714285714)	
('10319', 5.5)	
('1032', 7.09433962264151)	
('10321', 7.565380997177798)	
('10323', 1.0)	
('10324', 7.186046511627907)	
('10325', 5.9523809523809526)	
('10327', 5.7272727272727275)	
('1033', 8.357453754080522)	
('10330', 6.398843930635838)	
('10334', 7.72)	
('10335', 8.0)	
('10336', 7.25114854517611)	
('10338', 6.7272727272727275)	
('1034', 7.819502074688796)	
('10342', 7.142857142857143)	
('10346', 5.666666666666667)	
('10347', 4.875)	
('10348', 7.036363636363636)	
('10349', 7.5)	
('1035', 6.808510638297872)	
('10350', 8.06578947368421)	
('10351', 7.113636363636363)	
('10354', 7.25)	
('10355', 4.333333333333333)	
('10357', 7.987312572087658)	
('10359', 7.5)	
('1036', 6.148760330578512)	
('10360', 6.0)	
('10361', 7.317073170731708)	
('10368', 3.0)	
('1037', 6.530487804878049)	
('10370', 7.130434782608695)	
('10372', 7.351439790575916)	
('10373', 5.142857142857143)	
('10375', 6.333333333333333)	
('10378', 7.689161554192229)	
('10379', 8.721481962950927)	
('1038', 5.891891891891892)	
('10380', 7.322683706070287)	
('10384', 7.072463768115942)	
('10389', 7.92625)	
('1039', 6.766233766233766)	
('10390', 6.852941176470588)	
('10391', 5.9411764705882355)	
('10392', 6.277777777777778)	
('10396', 7.613223489649346)	
('10397', 7.4460745440126885)	
('104', 7.5056264066016505)	
('1040', 7.529411764705882)	
('10405', 6.51948051948052)	
('10406', 5.531645569620253)	
('10407', 5.666666666666667)	
('10408', 8.708931284821881)	
('10409', 4.5)	
('1041', 7.030100334448161)	
('10417', 6.022330097087378)	
('10418', 7.255360623781677)	
('10419', 7.1208791208791204)	
('1042', 6.9932203389830505)	
('10420', 6.296296296296297)	
('10421', 6.788461538461538)	
('10424', 5.7272727272727275)	
('10429', 6.363636363636363)	
('1043', 6.965811965811966)	
('10431', 7.24963503649635)	
('10436', 4.857142857142857)	
('1044', 6.617886178861789)	
('10444', 7.687022900763359)	
('10445', 7.962457337883959)	
('10447', 7.4811260396673065)	
('10448', 7.646651270207852)	
('1045', 7.373865698729583)	
('10456', 7.595052083333333)	
('10457', 7.082191780821918)	
('10458', 6.671052631578948)	
('1046', 7.29242819843342)	
('10460', 7.978733687771871)	
('10463', 5.857142857142857)	
('10464', 7.570779712339137)	
('10465', 6.593705293276109)	
('10466', 7.0)	
('10469', 7.69758064516129)	
('1047', 7.796428571428572)	
('10470', 6.911591355599215)	
('10471', 7.476190476190476)	
('10477', 6.365671641791045)	
('10479', 7.555555555555555)	
('1048', 6.736180904522613)	
('10481', 6.375)	
('10483', 7.66)	
('10488', 6.911111111111111)	
('1049', 7.385714285714286)	
('10490', 6.9093432007400555)	
('10491', 6.764624913971094)	
('10495', 7.765871952852933)	
('10497', 7.962871287128713)	
('105', 6.756756756756757)	
('1050', 7.587078651685394)	
('10500', 7.846153846153846)	
('10501', 6.183673469387755)	
('10502', 6.905555555555556)	
('10504', 7.26)	
('10507', 7.533333333333333)	
('10509', 5.0)	
('1051', 7.309192200557103)	
('10511', 5.0)	
('10513', 7.075757575757576)	
('10516', 6.704225352112676)	
('10519', 6.236051502145923)	
('1052', 5.882352941176471)	
('10520', 5.7272727272727275)	
('10521', 8.055568978014014)	
('10524', 5.4)	
('10525', 4.75)	
('10526', 5.071428571428571)	
('10527', 6.608695652173913)	
('10528', 6.238095238095238)	
('1053', 5.051282051282051)	
('10531', 7.348314606741573)	
('10532', 6.882352941176471)	
('10534', 7.871794871794871)	
('10536', 7.52093023255814)	
('10539', 5.0)	
('10541', 5.0)	
('10545', 6.066666666666666)	
('10546', 6.488888888888889)	
('10547', 6.590759075907591)	
('10549', 6.7272727272727275)	
('1055', 6.403189066059226)	
